Code,Town,Name
JPR156,Kot Khawada,Lalsot
JPR120,Kota   ,
JPR145,Rawatbhata ,Rawatbhata
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kota   ,
JPR120,Kaithoon ,Kaithoon - Sangod
JPR120,Kota   ,
SID006,Kotkasim,Kotkasim
SID006,Kotkasim,Kotkasim
SID006,Kotkasim,Kotkasim
SID006,Kotkasim,
JPR156,Kotputli ,Kotputli
JPR156,Patan,
JPR156,Kotputli ,Kotputli
JPR156,Kotputli ,Kotputli
JPR156,Kotputli ,Kotputli
JPR156,Kotputli ,Kotputli
JPR156,Kotputli ,Kotputli
JPR156,Kotputli ,Kotputli
JPR156,Kotputli ,Kotputli
JPR182,Kumher ,Deeg - Kumher
JPR182,Kumher ,Deeg - Kumher
JPR182,Kumher ,Deeg - Kumher
JPR182,Kumher ,Deeg - Kumher
JPR120,Lakheri ,
JPR156,Lalsot ,Lalsot
JPR156,Lalsot ,Lalsot
JPR156,Lalsot ,Lalsot
JPR156,Lalsot ,Lalsot
JPR156,Lalsot ,Lalsot
JPR156,Lalsot ,Lalsot
SID001,#REF!,
SID001,#REF!,
SID001,#REF!,
